TARIFF,EFF_DATE,CHANGE,SUB_CHAP,DESC1,DESC2,DESC3,FOOTNOTE,UOM,MFN,AUT,NZT,CCCT,LDCT,GPT,UST,MXT,CIAT,CT,CRT,IT,NT,SLT,PT,COLT,JT,PAT,HNT,KRT,CEUT,CPTPT,UKT,row_id,UAT,General Tariff
"0105.13.10","04/01/21 00:00:00",0,,"For breeding purposes",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26896,"Free","35%"
"0105.13.10.00","01/01/12 00:00:00",0,,"For breeding purposes",,,,"NMB","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26897,"Free","35%"
"0105.13.90","04/01/21 00:00:00",0,,"Other",,,,,"8 %",,,"Free","Free","Free","Free","Free",,"Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26898,"Free","35%"
"0105.13.90.00","01/01/12 00:00:00",0,,"Other",,,,"NMB","8 %",,,"Free","Free","Free","Free","Free",,"Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26899,"Free","35%"
"0105.14","01/01/12 00:00:00",0,,"Geese",,,,,,,,,,,,,,,,,,,,,,,,,,,,26900,,
"0105.14.10","04/01/21 00:00:00",0,,"For breeding purposes",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26901,"Free","35%"
"0105.14.90","04/01/21 00:00:00",0,,"Other",,,,,"8 %",,,"Free","Free","Free","Free","Free",,"Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26903,"Free","35%"
"0105.14.90.00","01/01/12 00:00:00",0,,"Other",,,,"NMB","8 %",,,"Free","Free","Free","Free","Free",,"Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26904,"Free","35%"
"0105.15","01/01/13 00:00:00",0,,"Guinea fowls
",,,,,,,,,,,,,,,,,,,,,,,,,,,,26905,,
"0105.15.10","04/01/21 00:00:00",0,,"For breeding purposes",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26906,"Free","35%"
"0105.15.10.00","01/01/12 00:00:00",0,,"For breeding purposes",,,,"NMB","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26907,"Free","35%"
"0105.15.90","04/01/21 00:00:00",0,,"Other",,,,,"2.5 %",,,"Free","Free","Free","Free","Free",,"Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26908,"Free","35%"
"0105.15.90.00","01/01/12 00:00:00",0,,"Other",,,,"NMB","2.5 %",,,"Free","Free","Free","Free","Free",,"Free","Free",,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free",26909,"Free","35%"
"0105.9","01/01/98 00:00:00",0,,"Other:",,,,,,,,,,,,,,,,,,,,,,,,,,,,26910,,
"0105.94","01/01/17 00:00:00",0,,"Fowls of the species Gallus domesticus",,,,,,,,,,,,,,,,,,,,,,,,,,,,26911,,
"0105.94.10","01/01/26 00:00:00",1,,"For breeding purposes; 
Spent fowl;
Started pullets",,,,,"2.82 ¢/kg",,,"Free","Free",,"Free",,,"Free","Free",,,,"Free","Free","Free",,"Free","Free","Free","0.51¢/kg","Free",26912,"Free","35%"
"0105.94.10.1","01/01/12 00:00:00",0,,"For breeding purposes; Started pullets:",,,,,,,,,,,,,,,,,,,,,,,,,,,,26913,,
"0105.94.10.11","01/01/12 00:00:00",0,,"Weighing not more than 2,000 g",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,26914,,
"0105.94.10.12","01/01/12 00:00:00",0,,"Weighing more than 2,000 g",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,26915,,
"0105.94.10.20","01/01/12 00:00:00",0,,"Spent fowl",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,26916,,
"0105.94.9","01/01/07 00:00:00",0,,"Other:",,,,,,,,,,,,,,,,,,,,,,,,,,,,26917,,
"0105.94.91","12/30/18 00:00:00",0,,"Within access commitment",,,,,"1.9 ¢",,,"Free","Free",,"Free",,,"Free",,,,,"Free","Free","Free",,,,"Free","Free","Free",26918,"Free","35%"
"0105.94.91.10","01/01/12 00:00:00",0,,"Weighing not more than 2,000 g",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,26919,,
"0105.94.91.20","01/01/12 00:00:00",0,,"Weighing more than 2,000 g",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,26920,,
"0105.94.92","10/01/12 00:00:00",0,,"Over access commitment",,,,,"238 % but not less than $1.25/kg",,,,,,,,,,,,,,,,,,,,,,,26921,,"238 % but not less than $1.25/kg"
"0105.94.92.10","01/01/12 00:00:00",0,,"Weighing not more than 2,000 g",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,26922,,
"0105.94.92.20","01/01/12 00:00:00",0,,"Weighing more than 2,000 g",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,26923,,
"0105.99","01/01/98 00:00:00",0,,"Other",,,,,,,,,,,,,,,,,,,,,,,,,,,,26924,,
"0105.99.1","01/01/98 00:00:00",0,,"Turkeys:",,,,,,,,,,,,,,,,,,,,,,,,,,,,26925,,
"0105.99.11","04/01/21 00:00:00",0,,"Within access commitment",,,,,"1.9 ¢",,,"Free","Free",,"Free",,,"Free",,,,,"Free","Free","Free","Free",,,"Free","Free","Free",26926,"Free","35%"
"0105.99.11.00","01/01/98 00:00:00",0,,"Within access commitment",,,,"KGM","1.9 ¢",,,"Free","Free",,"Free",,,"Free",,,,,"Free","Free","Free","Free",,,"Free","Free","Free",26927,"Free","35%"
"0105.99.12.00","01/01/98 00:00:00",0,,"Over access commitment",,,,"KGM","154.5 % but not less than $1.60/kg",,,,,,,,,,,,,,,,,,,,,,,26929,,"154.5 % but not less than $1.60/kg"
