TARIFF,EFF_DATE,CHANGE,SUB_CHAP,DESC1,DESC2,DESC3,FOOTNOTE,UOM,MFN,AUT,NZT,CCCT,LDCT,GPT,UST,MXT,CIAT,CT,CRT,IT,NT,SLT,PT,COLT,JT,PAT,HNT,KRT,CEUT,CPTPT,UKT,row_id,UAT,General Tariff
"8201.40.10.00","01/01/98 00:00:00",0,,"For climbing or mountaineering;
Heads for use in the manufacture or production of axes, bill hooks and similar hewing tools",,,,"NMB","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44397,"Free","35%"
"8201.40.90","04/01/21 00:00:00",0,,"Other",,,,,"6 %",,,"Free","Free","5 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44398,"Free","35%"
"8201.90.29","04/01/21 00:00:00",0,,"Other",,,,,"6 %",,,"Free","Free","5 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44413,"Free","35%"
"8201.90.29.00","01/01/12 00:00:00",0,,"Other",,,,"NMB","6 %",,,"Free","Free","5 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44414,"Free","35%"
"8201.90.9","06/09/16 00:00:00",0,,"Other:",,,,,,,,,,,,,,,,,,,,,,,,,,,,44415,,
"8201.90.91","04/01/21 00:00:00",0,,"Heads for use in the manufacture or production of other hand tools of a kind used in agriculture, horticulture or forestry",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44416,"Free","35%"
"8201.90.91.00","06/13/16 00:00:00",0,,"Heads for use in the manufacture or production of other hand tools of a kind used in agriculture, horticulture or forestry",,,,"NMB","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44417,"Free","35%"
"8201.90.99","04/01/21 00:00:00",0,,"Other",,,,,"6.5 %",,,"Free","Free","5 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44418,"Free","35%"
"8201.90.99.00","06/13/16 00:00:00",0,,"Other",,,,"NMB","6.5 %",,,"Free","Free","5 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44419,"Free","35%"
"82.02","01/01/98 00:00:00",0,,"Hand saws; blades for saws of all kinds (including slitting, slotting or toothless saw blades).",,,,,,,,,,,,,,,,,,,,,,,,,,,,44420,,
"8202.10.00","04/01/21 00:00:00",0,,"Hand saws",,,,,"7 %","6 %","6 %","Free","Free","5 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44421,"Free","35%"
"8202.10.00.00","01/01/12 00:00:00",0,,"Hand saws",,,,"-  ","7 %","6 %","6 %","Free","Free","5 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44422,"Free","35%"
"8202.20.00","04/01/21 00:00:00",0,,"Band saw blades",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44423,"Free","35%"
"8202.20.00.00","01/01/17 00:00:00",0,,"Band saw blades",,,,"-  ","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44424,"Free","35%"
"8202.3","01/01/98 00:00:00",0,,"Circular saw blades (including slitting or slotting saw blades):",,,,,,,,,,,,,,,,,,,,,,,,,,,,44425,,
"8202.31.00","04/01/21 00:00:00",0,,"With working part of steel",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44426,"Free","35%"
"8203.20.00","04/01/21 00:00:00",0,,"Pliers (including cutting pliers), pincers, tweezers and similar tools",,,,,"6.5 %",,,"Free","Free","5 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44440,"Free","35%"
"8203.20.00.10","01/01/98 00:00:00",0,,"Pliers",,,,"NMB",,,,,,,,,,,,,,,,,,,,,,,,44441,,
"8203.20.00.90","01/01/12 00:00:00",0,,"Other",,,,"-  ",,,,,,,,,,,,,,,,,,,,,,,,44442,,
"8203.30","01/01/98 00:00:00",0,,"Metal cutting shears and similar tools",,,,,,,,,,,,,,,,,,,,,,,,,,,,44443,,
"8203.30.10","04/01/21 00:00:00",0,,"Shears",,,,,"11 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44444,"Free","35%"
"8203.30.10.00","01/01/98 00:00:00",0,,"Shears",,,,"-  ","11 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44445,"Free","35%"
"8203.30.90","04/01/21 00:00:00",0,,"Other",,,,,"6.5 %",,,"Free","Free","5 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44446,"Free","35%"
"8203.30.90.00","01/01/98 00:00:00",0,,"Other",,,,"-  ","6.5 %",,,"Free","Free","5 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44447,"Free","35%"
"8203.40.00","04/01/21 00:00:00",0,,"Pipe-cutters, bolt croppers, perforating punches and similar tools",,,,,"6.5 %",,,"Free","Free","5 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44448,"Free","35%"
"8203.40.00.00","01/01/17 00:00:00",0,,"Pipe-cutters, bolt croppers, perforating punches and similar tools",,,,"-  ","6.5 %",,,"Free","Free","5 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44449,"Free","35%"
"82.04","01/01/98 00:00:00",0,,"Hand-operated spanners and wrenches (including torque meter wrenches but not including tap wrenches); interchangeable spanner sockets, with or without handles.",,,,,,,,,,,,,,,,,,,,,,,,,,,,44450,,
"8204.1","01/01/98 00:00:00",0,,"Hand-operated spanners and wrenches:",,,,,,,,,,,,,,,,,,,,,,,,,,,,44451,,
"8204.11.00","04/01/21 00:00:00",0,,"Non-adjustable",,,,,"7 %","6 %","6 %","Free","Free","5 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44452,"Free","35%"
"8204.11.00.30","01/01/12 00:00:00",0,,"Combination open end and box end",,,,"NMB",,,,,,,,,,,,,,,,,,,,,,,,44453,,
"8204.11.00.40","01/01/98 00:00:00",0,,"Torque",,,,"-  ",,,,,,,,,,,,,,,,,,,,,,,,44454,,
"8204.11.00.90","01/01/98 00:00:00",0,,"Other",,,,"-  ",,,,,,,,,,,,,,,,,,,,,,,,44455,,
"8205.59.20","04/01/21 00:00:00",0,,"Stapling or tacking guns, and hammer tackers not operated by an independent hammer",,,,,"2.5 %",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44486,"Free","35%"
"8205.59.20.00","01/01/12 00:00:00",0,,"Stapling or tacking guns, and hammer tackers not operated by an independent hammer",,,,"NMB","2.5 %",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44487,"Free","35%"
"8205.59.90","04/01/21 00:00:00",0,,"Other",,,,,"6.5 %",,,"Free","Free","5 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44488,"Free","35%"
"8205.60.00","04/01/21 00:00:00",0,,"Blow lamps",,,,,"6 %",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44490,"Free","35%"
"8205.60.00.00","01/01/12 00:00:00",0,,"Blow lamps",,,,"-  ","6 %",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44491,"Free","35%"
"8205.70","01/01/98 00:00:00",0,,"Vices, clamps and the like",,,,,,,,,,,,,,,,,,,,,,,,,,,,44492,,
"8205.70.10","04/01/21 00:00:00",0,,"Clamps for use with the following surgical, dental, veterinary or diagnostic articles:Instruments;Sterilizers;Cobalt therapy units;Anaesthesia, surgical suction or oxygen administering apparatus",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44493,"Free","35%"
"8205.70.10.00","10/01/14 00:00:00",0,,"Clamps for use with the following surgical, dental, veterinary or diagnostic articles:Instruments;Sterilizers;Cobalt therapy units;Anaesthesia, surgical suction or oxygen administering apparatus",,,,"-  ","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44494,"Free","35%"
"8205.70.20","04/01/21 00:00:00",0,,"Precision clamps and vices, for toolmakers, machinists or metal workers",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44495,"Free","35%"
"8205.70.20.00","01/01/98 00:00:00",0,,"Precision clamps and vices, for toolmakers, machinists or metal workers",,,,"-  ","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44496,"Free","35%"
"8205.70.90","04/01/21 00:00:00",0,,"Other",,,,,"6.5 %",,,"Free","Free","5 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44497,"Free","35%"
"8205.70.90.00","01/01/98 00:00:00",0,,"Other",,,,"-  ","6.5 %",,,"Free","Free","5 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44498,"Free","35%"
"8205.90","01/01/13 00:00:00",0,,"Other, including sets of articles of two or more subheadings of this heading
",,,,,,,,,,,,,,,,,,,,,,,,,,,,44499,,
"8205.90.10","04/01/21 00:00:00",0,,"Anvils; portable forges; hand or pedal-operated grinding wheels with frameworks",,,,,"7 %",,,"Free","Free","5 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44500,"Free","35%"
"8205.90.90","04/01/21 00:00:00",0,,"Other",,,,,"6.5 %",,,"Free","Free","5 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44502,"Free","35%"
"8205.90.90.00","01/01/12 00:00:00",0,,"Other",,,,"-  ","6.5 %",,,"Free","Free","5 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44503,"Free","35%"
"8206.00.00","04/01/21 00:00:00",0,,"Tools of two or more of the headings 82.02 to 82.05, put up in sets for retail sale.",,,,,"6.5 %",,,"Free","Free","5 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44504,"Free","35%"
"8206.00.00.00","01/01/98 00:00:00",0,,"Tools of two or more of the headings 82.02 to 82.05, put up in sets for retail sale.",,,,"-  ","6.5 %",,,"Free","Free","5 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44505,"Free","35%"
"82.07","01/01/98 00:00:00",0,,"Interchangeable tools for hand tools, whether or not power-operated, or for machine-tools (for example, for pressing, stamping, punching, tapping, threading, drilling, boring, broaching, milling, turning or screw driving), including dies for drawing or extruding metal, and rock drilling or earth boring tools.",,,,,,,,,,,,,,,,,,,,,,,,,,,,44506,,
"8207.1","01/01/98 00:00:00",0,,"Rock drilling or earth boring tools:",,,,,,,,,,,,,,,,,,,,,,,,,,,,44507,,
"8207.13.00","04/01/21 00:00:00",0,,"With working part of cermets",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44508,"Free","35%"
"8207.13.00.10","01/01/98 00:00:00",0,,"Rotary rock drill bits",,,,"NMB",,,,,,,,,,,,,,,,,,,,,,,,44509,,
"8207.13.00.90","01/01/98 00:00:00",0,,"Other",,,,"NMB",,,,,,,,,,,,,,,,,,,,,,,,44510,,
"8207.19.00","04/01/21 00:00:00",0,,"Other, including parts",,,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44511,"Free","35%"
"8207.19.00.40","06/01/12 00:00:00",0,,"Rotary rock drill bits",,,,"-  ",,,,,,,,,,,,,,,,,,,,,,,,44512,,
"8207.19.00.50","01/01/12 00:00:00",0,,"Percussion rock drill bits",,,,"-  ",,,,,,,,,,,,,,,,,,,,,,,,44513,,
"8207.19.00.90","01/01/12 00:00:00",0,,"Other",,,,"-  ",,,,,,,,,,,,,,,,,,,,,,,,44514,,
"8207.20.00","04/01/21 00:00:00",0,,"Dies for drawing or extruding metal",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44515,"Free","35%"
"8207.20.00.00","01/01/12 00:00:00",0,,"Dies for drawing or extruding metal",,,,"-  ","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44516,"Free","35%"
"8207.30.00","04/01/21 00:00:00",0,,"Tools for pressing, stamping or punching",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44517,"Free","35%"
"8207.30.00.20","01/01/12 00:00:00",0,,"Suitable for cutting metal",,,,"NMB",,,,,,,,,,,,,,,,,,,,,,,,44518,,
"8207.30.00.40","01/01/17 00:00:00",0,,"Stamping dies",,,,"NMB",,,,,,,,,,,,,,,,,,,,,,,,44519,,
"8207.30.00.50","01/01/17 00:00:00",0,,"Metal forming dies, including thread-rolling dies",,,,"NMB",,,,,,,,,,,,,,,,,,,,,,,,44520,,
"8207.30.00.90","01/01/17 00:00:00",0,,"Other",,,,"NMB",,,,,,,,,,,,,,,,,,,,,,,,44521,,
"8207.40.00","04/01/21 00:00:00",0,,"Tools for tapping or threading",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44522,"Free","35%"
"8207.40.00.10","01/01/12 00:00:00",0,,"For tapping",,,,"NMB",,,,,,,,,,,,,,,,,,,,,,,,44523,,
"8207.40.00.20","01/01/12 00:00:00",0,,"For threading",,,,"NMB",,,,,,,,,,,,,,,,,,,,,,,,44524,,
"8207.50.00","04/01/21 00:00:00",0,,"Tools for drilling, other than for rock drilling",,,,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44525,"Free","35%"
"8207.50.00.10","06/01/12 00:00:00",0,,"Drill bits for masonry",,,,"NMB",,,,,,,,,,,,,,,,,,,,,,,,44526,,
"8207.50.00.20","01/01/12 00:00:00",0,,"Drill bits for metal working",,,,"NMB",,,,,,,,,,,,,,,,,,,,,,,,44527,,
"8207.50.00.90","01/01/12 00:00:00",0,,"Other",,,,"-  ",,,,,,,,,,,,,,,,,,,,,,,,44528,,
"8207.60.00","04/01/21 00:00:00",0,,"Tools for boring or broaching",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44529,"Free","35%"
"8207.60.00.00","01/01/12 00:00:00",0,,"Tools for boring or broaching",,,,"-  ","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44530,"Free","35%"
"8207.70.00","04/01/21 00:00:00",0,,"Tools for milling",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44531,"Free","35%"
"8207.70.00.1","01/01/98 00:00:00",0,,"Milling cutters:",,,,,,,,,,,,,,,,,,,,,,,,,,,,44532,,
"8207.70.00.11","01/01/12 00:00:00",0,,"Tungsten carbide tipped",,,,"NMB",,,,,,,,,,,,,,,,,,,,,,,,44533,,
"8207.70.00.19","01/01/98 00:00:00",0,,"Other",,,,"NMB",,,,,,,,,,,,,,,,,,,,,,,,44534,,
"8207.70.00.90","01/01/12 00:00:00",0,,"Other",,,,"-  ",,,,,,,,,,,,,,,,,,,,,,,,44535,,
"8207.80.00","04/01/21 00:00:00",0,,"Tools for turning",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44536,"Free","35%"
"8207.80.00.00","01/01/17 00:00:00",0,,"Tools for turning",,,,"NMB","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44537,"Free","35%"
"8207.90","01/01/98 00:00:00",0,,"Other interchangeable tools",,,,,,,,,,,,,,,,,,,,,,,,,,,,44538,,
"8207.90.10","04/01/21 00:00:00",0,,"Ball points, bushing bits, chisels, clay spades, front spades, drivers (for pipes, pins and spikes) and star drills, for portable power tools;
Cutting tools, carbide tipped, for wood working;
Nozzles for vacuum cleaners",,,,,"9 %","2.5 %","2.5 %","Free","Free","2.5 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44539,"Free","35%"
"8207.90.10.00","01/01/98 00:00:00",0,,"Ball points, bushing bits, chisels, clay spades, front spades, drivers (for pipes, pins and spikes) and star drills, for portable power tools;
Cutting tools, carbide tipped, for wood working;
Nozzles for vacuum cleaners",,,,"NMB","9 %","2.5 %","2.5 %","Free","Free","2.5 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44540,"Free","35%"
"8207.90.90","04/01/21 00:00:00",0,,"Other",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44541,"Free","35%"
"8207.90.90.00","01/01/17 00:00:00",0,,"Other",,,,"-  ","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44542,"Free","35%"
"82.08","01/01/98 00:00:00",0,,"Knives and cutting blades, for machines or for mechanical appliances.",,,,,,,,,,,,,,,,,,,,,,,,,,,,44543,,
"8208.10.00","04/01/21 00:00:00",0,,"For metal working",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44544,"Free","35%"
"8208.10.00.00","01/01/12 00:00:00",0,,"For metal working",,,,"-  ","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44545,"Free","35%"
"8208.20.00","04/01/21 00:00:00",0,,"For wood working",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44546,"Free","35%"
"8208.20.00.00","01/01/12 00:00:00",0,,"For wood working",,,,"-  ","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44547,"Free","35%"
"8208.30.00","04/01/21 00:00:00",0,,"For kitchen appliances or for machines used by the food industry",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44548,"Free","35%"
"8208.30.00.00","01/01/98 00:00:00",0,,"For kitchen appliances or for machines used by the food industry",,,,"-  ","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44549,"Free","35%"
"8208.40.00","04/01/21 00:00:00",0,,"For agricultural, horticultural or forestry machines",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44550,"Free","35%"
"8208.40.00.10","01/01/98 00:00:00",0,,"For mowers for lawns, parks or sports-grounds",,,,"-  ",,,,,,,,,,,,,,,,,,,,,,,,44551,,
"8208.40.00.20","01/01/98 00:00:00",0,,"For other agricultural or horticultural type machinery and parts thereof",,,,"-  ",,,,,,,,,,,,,,,,,,,,,,,,44552,,
"8208.40.00.90","01/01/98 00:00:00",0,,"Other",,,,"-  ",,,,,,,,,,,,,,,,,,,,,,,,44553,,
"8208.90.00","04/01/21 00:00:00",0,,"Other",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44554,"Free","35%"
"8208.90.00.00","01/01/98 00:00:00",0,,"Other",,,,"-  ","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44555,"Free","35%"
"8209.00.00","04/01/21 00:00:00",0,,"Plates, sticks, tips and the like for tools, unmounted, of cermets.",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44556,"Free","35%"
"8209.00.00.10","01/01/12 00:00:00",0,,"Carbide inserts and bits",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,44557,,
"8209.00.00.90","01/01/12 00:00:00",0,,"Other",,,,"KGM",,,,,,,,,,,,,,,,,,,,,,,,44558,,
"8210.00","01/01/98 00:00:00",0,,"Hand-operated mechanical appliances, weighing 10 kg or less, used in the preparation, conditioning or serving of food or drink.",,,,,,,,,,,,,,,,,,,,,,,,,,,,44559,,
"8210.00.10","04/01/21 00:00:00",0,,"Grape crushers for domestic purposes",,,,,"6 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44560,"Free","35%"
"8210.00.10.00","01/01/98 00:00:00",0,,"Grape crushers for domestic purposes",,,,"-  ","6 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44561,"Free","35%"
"8210.00.90","04/01/21 00:00:00",0,,"Other",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44562,"Free","35%"
"8210.00.90.10","01/01/12 00:00:00",0,,"Appliances which chop, cut, slice, mince or shred food",,,,"-  ",,,,,,,,,,,,,,,,,,,,,,,,44563,,
"8210.00.90.20","01/01/98 00:00:00",0,,"Can openers",,,,"-  ",,,,,,,,,,,,,,,,,,,,,,,,44564,,
"8210.00.90.90","01/01/98 00:00:00",0,,"Other",,,,"-  ",,,,,,,,,,,,,,,,,,,,,,,,44565,,
"82.11","01/01/02 00:00:00",0,,"Knives with cutting blades, serrated or not (including pruning knives), other than knives of heading 82.08, and blades therefor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,44566,,
"8211.10","01/01/98 00:00:00",0,,"Sets of assorted articles",,,,,,,,,,,,,,,,,,,,,,,,,,,,44567,,
"8211.10.10","04/01/21 00:00:00",0,,"Table cutlery",,,,,"11 %",,,"Free","Free","8 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44568,"Free","35%"
"8211.10.10.00","01/01/98 00:00:00",0,,"Table cutlery",,,,"-  ","11 %",,,"Free","Free","8 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44569,"Free","35%"
"8211.10.90","04/01/21 00:00:00",0,,"Other",,,,,"7 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44570,"Free","35%"
"8211.10.90.00","01/01/98 00:00:00",0,,"Other",,,,"-  ","7 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44571,"Free","35%"
"8211.9","01/01/98 00:00:00",0,,"Other:",,,,,,,,,,,,,,,,,,,,,,,,,,,,44572,,
"8211.91","01/01/98 00:00:00",0,,"Table knives having fixed blades",,,,,,,,,,,,,,,,,,,,,,,,,,,,44573,,
"8211.91.10","04/01/21 00:00:00",0,,"Carving knives",,,,,"7 %",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44574,"Free","35%"
"8211.91.10.00","01/01/98 00:00:00",0,,"Carving knives",,,,"-  ","7 %",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44575,"Free","35%"
"8211.91.90","04/01/21 00:00:00",0,,"Other",,,,,"11 %",,,"Free","Free","8 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44576,"Free","35%"
"8205.20.90.00","06/13/16 00:00:00",0,,"Other",,,,"NMB","7 %","6 %","6 %","Free","Free","5 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44472,"Free","35%"
"8205.30.00","04/01/21 00:00:00",0,,"Planes, chisels, gouges and similar cutting tools for working wood",,,,,"7 %","6.5 %","6.5 %","Free","Free","5 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44473,"Free","35%"
"8205.30.00.00","01/01/12 00:00:00",0,,"Planes, chisels, gouges and similar cutting tools for working wood",,,,"-  ","7 %","6.5 %","6.5 %","Free","Free","5 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44474,"Free","35%"
"8205.40.00","04/01/21 00:00:00",0,,"Screwdrivers",,,,,"7 %","6 %","6 %","Free","Free","5 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44475,"Free","35%"
"8205.40.00.00","01/01/98 00:00:00",0,,"Screwdrivers",,,,"-  ","7 %","6 %","6 %","Free","Free","5 %","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44476,"Free","35%"
"8205.5","01/01/98 00:00:00",0,,"Other hand tools (including glaziers' diamonds):",,,,,,,,,,,,,,,,,,,,,,,,,,,,44477,,
"8205.51","01/01/98 00:00:00",0,,"Household tools",,,,,,,,,,,,,,,,,,,,,,,,,,,,44478,,
"8205.51.10","04/01/21 00:00:00",0,,"Portable butane hair curlers",,,,,"Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44479,"Free","35%"
"8205.51.10.00","01/01/98 00:00:00",0,,"Portable butane hair curlers",,,,"-  ","Free",,,"Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free","Free",44480,"Free","35%"
